,Model,PET_Model,Rain_ForcingTotal,Rain_Input,QOutSim,QOutObs,PotET,ActualET,Qsim_Qobs,PotET_ActualET,AridityNG,Aridity_year,AridityCAMELS,Lat,Long,diff_Q,Aridity_ratio,Aridity_ratio_year,diff_A,NCat,N_Nexus,A_Best1
01022500,NOAH_CFE,NOAH,8.318649360962295,7.853205321683329,5.610729394670597,4.554258234183303,2.8037289836836456,2.1862987381915087,1.2319743646852617,1.2824089108713803,0.3570171501746332,0.35701715017463304,0.587356423405076,44.6819177955634,-68.14547301038266,0.23197436468526167,0.6078373129979595,0.6078373129979592,0.3921626870020405,74,34.0,PET_3
01022500,PET_1_CFE,PET_1,8.318649360962295,8.318649360962295,3.002171223543976,4.554258234183303,8.367420404719873,5.1632734383880665,0.6592009212412048,1.6205650358374426,1.0058628560528649,1.0058628560528697,0.587356423405076,44.6819177955634,-68.14547301038266,0.3407990787587952,1.7125255057594932,1.7125255057595017,0.7125255057594932,74,34.0,PET_3
01022500,PET_2_CFE,PET_2,8.318649360962295,8.318649360962295,5.239556566669367,4.554258234183303,3.800400437382462,3.034672101534652,1.1504741929964268,1.2523265480512957,0.45685306261578434,0.4568530626157893,0.587356423405076,44.6819177955634,-68.14547301038266,0.15047419299642684,0.7778123204429677,0.7778123204429761,0.22218767955703234,74,34.0,PET_3
01022500,PET_3_CFE,PET_3,8.318649360962295,8.318649360962295,3.953147775864694,4.554258234183303,6.0640549584187635,4.2349406657545785,0.8680113363342463,1.431910252593415,0.7289710979857045,0.7289710979857045,0.587356423405076,44.6819177955634,-68.14547301038266,0.13198866366575368,1.2411051772612736,1.2411051772612736,0.24110517726127356,74,34.0,PET_3
01022500,PET_4_CFE,PET_4,8.318649360962295,8.318649360962295,4.157673874958161,4.554258234183303,6.110329670377068,4.029246786474391,0.9129200983272175,1.5164942715568022,0.7345338654435399,0.7345338654435412,0.587356423405076,44.6819177955634,-68.14547301038266,0.08707990167278246,1.2505760321564776,1.2505760321564796,0.2505760321564776,74,34.0,PET_3
01022500,PET_5_CFE,PET_5,8.318649360962295,8.318649360962295,2.5210248089622396,4.554258234183303,9.821451997406552,5.645237491420072,0.5535533295059903,1.7397765837723764,1.1806546437089414,1.1806546437089425,0.587356423405076,44.6819177955634,-68.14547301038266,0.44644667049400966,2.010116169096003,2.010116169096005,1.010116169096003,74,34.0,PET_3
01031500,NOAH_CFE,NOAH,8.137006458529216,7.603666560896575,5.544519964825746,4.111444464210681,2.2169718513260213,1.8950770643710633,1.3485576694735162,1.1698584152628053,0.2915661587170664,0.29156615871706615,0.587950340389816,45.15602312285235,-69.45600558418914,0.3485576694735162,0.4959026956660245,0.495902695666024,0.5040973043339755,102,43.0,PET_3
01031500,PET_1_CFE,PET_1,8.137006458529216,8.137006458529216,2.2687210696929423,4.111444464210681,7.976474291808276,5.685618166431196,0.5518063272997398,1.4029212054553124,0.980271348248388,0.9802713482483926,0.587950340389816,45.15602312285235,-69.45600558418914,0.4481936727002602,1.667268952677976,1.6672689526779838,0.667268952677976,102,43.0,PET_3
01031500,PET_2_CFE,PET_2,8.137006458529216,8.137006458529216,4.9223783725817905,4.111444464210681,3.5535982240063326,3.0485691953580663,1.197238200693243,1.1656610023539087,0.4367205854041628,0.4367205854041671,0.587950340389816,45.15602312285235,-69.45600558418914,0.19723820069324294,0.7427848160009797,0.7427848160009869,0.2572151839990203,102,43.0,PET_3
01031500,PET_3_CFE,PET_3,8.137006458529216,8.137006458529216,3.4460233548060315,4.111444464210681,5.674058959409879,4.473130093469736,0.8381539346579991,1.2684761768260135,0.697315282755162,0.6973152827551677,0.587950340389816,45.15602312285235,-69.45600558418914,0.16184606534200086,1.186010509480845,1.186010509480855,0.18601050948084508,102,43.0,PET_3
01031500,PET_4_CFE,PET_4,8.137006458529216,8.137006458529216,3.677661388423975,4.111444464210681,5.734503807697294,4.280199112830151,0.8944937528494662,1.339775009650317,0.7047436716344723,0.704743671634475,0.587950340389816,45.15602312285235,-69.45600558418914,0.1055062471505338,1.198644890939635,1.1986448909396397,0.198644890939635,102,43.0,PET_3
01031500,PET_5_CFE,PET_5,8.137006458529216,8.137006458529216,1.7726972968234715,4.111444464210681,9.350676767390036,6.200312175119287,0.43116167863981975,1.5080977381933416,1.1491543991081203,1.1491543991081268,0.587950340389816,45.15602312285235,-69.45600558418914,0.5688383213601802,1.9545092844851852,1.9545092844851961,0.9545092844851852,102,43.0,PET_3
01047000,NOAH_CFE,NOAH,9.051157085605666,8.51606924781077,6.331295539663691,4.657873954810953,2.4936443610737062,2.1747324344218457,1.3592672539204973,1.146644213147372,0.29281635558737956,0.29281635558737973,0.628929335570973,45.00730108226808,-70.31802327403359,0.3592672539204973,0.4655791024941562,0.4655791024941564,0.5344208975058438,81,44.0,PET_3
01047000,PET_1_CFE,PET_1,9.051157085605666,9.051172776634651,3.869605699657136,4.657873954810953,7.980187640362595,5.160379056621065,0.8307665121896133,1.546434390342615,0.8816744346062232,0.8816744346062251,0.628929335570973,45.00730108226808,-70.31802327403359,0.16923348781038672,1.4018656544392158,1.4018656544392187,0.40186565443921585,81,44.0,PET_3
01047000,PET_2_CFE,PET_2,9.051157085605666,9.051172776634651,5.991131937224726,4.657873954810953,3.4394679570301614,3.0410940247680234,1.2862374541150254,1.1309969139453115,0.3800024639800327,0.3800024639800322,0.628929335570973,45.00730108226808,-70.31802327403359,0.28623745411502544,0.6042053415031877,0.6042053415031869,0.3957946584968123,81,44.0,PET_3
01047000,PET_3_CFE,PET_3,9.051157085605666,9.051172776634651,4.831531491393865,4.657873954810953,5.668879579387858,4.196753707085331,1.0372825753267856,1.3507772852662652,0.626314370445111,0.626314370445111,0.628929335570973,45.00730108226808,-70.31802327403359,0.03728257532678558,0.995842195652254,0.995842195652254,0.004157804347746041,81,44.0,PET_3
01047000,PET_4_CFE,PET_4,9.051157085605666,9.051172776634651,4.933865320213392,4.657873954810953,5.905506973371452,4.0967246143199,1.059252647899022,1.4415191474499023,0.6524576559422611,0.6524576559422631,0.628929335570973,45.00730108226808,-70.31802327403359,0.05925264789902207,1.037410117545126,1.0374101175451294,0.03741011754512602,81,44.0,PET_3
01047000,PET_5_CFE,PET_5,9.051157085605666,9.051172776634651,3.3989602447991136,4.657873954810953,9.310034579907972,5.631881935159272,0.7297235343366146,1.653094771356332,1.0285998079653904,1.0285998079653875,0.628929335570973,45.00730108226808,-70.31802327403359,0.27027646566338537,1.6354775485732065,1.6354775485732018,0.6354775485732065,81,44.0,PET_3
01052500,NOAH_CFE,NOAH,8.050888396430528,7.5379955555011975,5.349753513394261,4.333605746020037,2.2337714458870703,2.1936375720410646,1.234480898108336,1.0182955809827159,0.29633493804024247,0.29633493804024474,0.561914458543945,44.949192120069625,-71.29176235136215,0.23448089810833594,0.5273666365662085,0.5273666365662126,0.4726333634337915,28,14.0,PET_3
01052500,PET_1_CFE,PET_1,8.050888396430528,8.050896743319244,1.7528948347116087,4.333605746020037,7.6849436273251275,6.257679189238703,0.4044887646554971,1.228082072430444,0.9545450491216658,0.9545450491216657,0.561914458543945,44.949192120069625,-71.29176235136215,0.5955112353445029,1.6987372981914735,1.6987372981914735,0.6987372981914735,28,14.0,PET_3
01052500,PET_2_CFE,PET_2,8.050888396430528,8.050896743319244,4.6742162129924685,4.333605746020037,3.437626955416399,3.3739614498873673,1.0785974744669025,1.018869660034544,0.426986839480831,0.4269868394808349,0.561914458543945,44.949192120069625,-71.29176235136215,0.07859747446690246,0.7598787199518877,0.7598787199518947,0.24012128004811228,28,14.0,PET_3
01052500,PET_3_CFE,PET_3,8.050888396430528,8.050896743319244,3.012921033774628,4.333605746020037,5.5232342464394355,5.0026219451350675,0.6952457630788588,1.104067888202236,0.6860396329170038,0.6860396329170096,0.561914458543945,44.949192120069625,-71.29176235136215,0.30475423692114123,1.2208969220950407,1.2208969220950512,0.22089692209504075,28,14.0,PET_3
01052500,PET_4_CFE,PET_4,8.050888396430528,8.050896743319244,3.0338167674030196,4.333605746020037,5.733953695064143,4.980481811527304,0.7000675523354339,1.1512849382951125,0.7122130463072035,0.7122130463072034,0.561914458543945,44.949192120069625,-71.29176235136215,0.29993244766456606,1.267475921784818,1.2674759217848177,0.26747592178481794,28,14.0,PET_3
01052500,PET_5_CFE,PET_5,8.050888396430528,8.050896743319244,1.2101048739736715,4.333605746020037,9.026230415267541,6.805832621719672,0.27923741680586106,1.3262492507473431,1.1211459670946151,1.1211459670946213,0.561914458543945,44.949192120069625,-71.29176235136215,0.7207625831941389,1.9952253408815517,1.9952253408815628,0.9952253408815517,28,14.0,PET_3
01054200,NOAH_CFE,NOAH,9.44498330828168,8.862917887051909,6.440393044862271,5.623160319808893,2.446934818865346,2.3871199675789145,1.1453333496778466,1.025057329375489,0.2760868203958138,0.27608682039581345,0.523306104932953,44.344942680161196,-70.95267101948942,0.1453333496778466,0.5275818833246491,0.5275818833246484,0.47241811667535094,13,7.0,PET_3
01054200,PET_1_CFE,PET_1,9.44498330828168,9.445022412611,2.9399155553350234,5.623160319808893,8.114241091287244,6.395984876121145,0.522822645653279,1.268646072254026,0.8591023649084311,0.8591023649084282,0.523306104932953,44.344942680161196,-70.95267101948942,0.47717735434672104,1.6416822903652173,1.6416822903652117,0.6416822903652173,13,7.0,PET_3
01054200,PET_2_CFE,PET_2,9.44498330828168,9.445022412611,6.197429693522296,5.623160319808893,3.274612895711164,3.211715268438659,1.1021257337604986,1.019583811768931,0.3467025013449305,0.3467025013449313,0.523306104932953,44.344942680161196,-70.95267101948942,0.1021257337604986,0.6625233263604878,0.6625233263604893,0.33747667363951217,13,7.0,PET_3
01054200,PET_3_CFE,PET_3,9.44498330828168,9.445022412611,4.352872627142427,5.623160319808893,5.643744685191015,4.982560243010934,0.774097194385232,1.132699738675017,0.5975363994536936,0.5975363994536922,0.523306104932953,44.344942680161196,-70.95267101948942,0.22590280561476805,1.1418487073263766,1.141848707326374,0.14184870732637656,13,7.0,PET_3
01054200,PET_4_CFE,PET_4,9.44498330828168,9.445022412611,4.389934593864084,5.623160319808893,5.931682441500645,4.948728760577537,0.780688144067228,1.1986275119286178,0.6280220609726304,0.6280220609726265,0.523306104932953,44.344942680161196,-70.95267101948942,0.21931185593277203,1.2001045947153506,1.2001045947153433,0.20010459471535058,13,7.0,PET_3
01054200,PET_5_CFE,PET_5,9.44498330828168,9.445022412611,2.3769050797264284,5.623160319808893,9.372446613913626,6.966043721091781,0.4226991486181225,1.3454475724198716,0.9923159739038342,0.9923159739038345,0.523306104932953,44.344942680161196,-70.95267101948942,0.5773008513818775,1.8962438323378084,1.896243832337809,0.8962438323378084,13,7.0,PET_3
01055000,NOAH_CFE,NOAH,9.43547411253464,8.856237626173082,6.546451960956873,5.024996676306576,2.358004151815732,2.3088175773083446,1.3027773713411852,1.0213037941978638,0.26625348724237685,0.26625348724237713,0.599062793707035,44.69441372110465,-70.5742338788261,0.3027773713411852,0.44445004770666025,0.4444500477066607,0.5555499522933398,16,7.0,PET_3
01055000,PET_1_CFE,PET_1,9.43547411253464,9.435432598399276,2.868863950907053,5.024996676306576,7.837263329446259,6.494599769316371,0.5709185768090294,1.2067353813661128,0.8306204562126651,0.8306204562126716,0.599062793707035,44.69441372110465,-70.5742338788261,0.42908142319097065,1.3865332064318967,1.3865332064319076,0.3865332064318967,16,7.0,PET_3
01055000,PET_2_CFE,PET_2,9.43547411253464,9.435432598399276,6.212771418256497,5.024996676306576,3.2719840938295834,3.2147056443606195,1.2363732393198215,1.017817634273746,0.34677626698161956,0.3467762669816218,0.599062793707035,44.69441372110465,-70.5742338788261,0.23637323931982146,0.5788646376045958,0.5788646376045996,0.42113536239540417,16,7.0,PET_3
01055000,PET_3_CFE,PET_3,9.43547411253464,9.435432598399276,4.095717253246743,5.024996676306576,5.896118082630806,5.27316644971119,0.8150686492109558,1.1181361595277794,0.6248911240838162,0.6248911240838233,0.599062793707035,44.69441372110465,-70.5742338788261,0.1849313507890442,1.0431145626937603,1.0431145626937723,0.04311456269376035,16,7.0,PET_3
01055000,PET_4_CFE,PET_4,9.43547411253464,9.435432598399276,3.8395055226085426,5.024996676306576,6.562982097245733,5.529040054106113,0.7640812064040247,1.187002089516745,0.6955676943057327,0.6955676943057367,0.599062793707035,44.69441372110465,-70.5742338788261,0.23591879359597534,1.1610931301567236,1.1610931301567302,0.16109313015672355,16,7.0,PET_3
01055000,PET_5_CFE,PET_5,9.43547411253464,9.435432598399276,2.2375318737749006,5.024996676306576,9.11830804459892,7.127864418242246,0.4452802694029859,1.2792482445741475,0.9663900355926283,0.9663900355926369,0.599062793707035,44.69441372110465,-70.5742338788261,0.5547197305970142,1.613169847542277,1.6131698475422918,0.6131698475422771,16,7.0,PET_3
01057000,NOAH_CFE,NOAH,8.645919640268616,8.071865742641503,5.226538955773306,4.441421851039415,2.866509132250846,2.7694459351828216,1.1767715679946396,1.0350478757627803,0.3551234898652794,0.3551234898652814,0.597323619284961,44.389981252760464,-70.59747393711122,0.17677156799463956,0.5945244393489538,0.5945244393489572,0.4054755606510462,17,11.0,PET_3
01057000,PET_1_CFE,PET_1,8.645919640268616,8.645879030371846,1.9631017829001305,4.441421851039415,8.441293601376675,6.545829963538612,0.4419984970445243,1.2895681141117503,0.9763372320759417,0.9763372320759384,0.597323619284961,44.389981252760464,-70.59747393711122,0.5580015029554757,1.6345197152000903,1.6345197152000848,0.6345197152000903,17,11.0,PET_3
01057000,PET_2_CFE,PET_2,8.645919640268616,8.645879030371846,4.50698249915876,4.441421851039415,4.199822562062783,4.054481785228976,1.014761184665222,1.0358469428481103,0.48576004213213647,0.48576004213213514,0.597323619284961,44.389981252760464,-70.59747393711122,0.014761184665222027,0.8132275812458678,0.8132275812458656,0.1867724187541322,17,11.0,PET_3
01057000,PET_3_CFE,PET_3,8.645919640268616,8.645879030371846,2.9802780907680666,4.441421851039415,6.42209071238107,5.51215376696859,0.671018919328863,1.1650782949607192,0.7427921082195463,0.742792108219544,0.597323619284961,44.389981252760464,-70.59747393711122,0.32898108067113696,1.2435337968197566,1.2435337968197526,0.24353379681975662,17,11.0,PET_3
01057000,PET_4_CFE,PET_4,8.645919640268616,8.645879030371846,2.848602314183272,4.441421851039415,6.853921045475694,5.644335584022275,0.6413717070168916,1.2143007699395936,0.7927384851671834,0.7927384851671846,0.597323619284961,44.389981252760464,-70.59747393711122,0.3586282929831084,1.3271507430363256,1.3271507430363279,0.32715074303632563,17,11.0,PET_3
01057000,PET_5_CFE,PET_5,8.645919640268616,8.645879030371846,1.3492095886283686,4.441421851039415,9.986029374324135,7.1747318236141595,0.30377875236341634,1.3918331193170406,1.1550045217200604,1.1550045217200617,0.597323619284961,44.389981252760464,-70.59747393711122,0.6962212476365837,1.9336327652716683,1.9336327652716705,0.9336327652716683,17,11.0,PET_3
01073000,NOAH_CFE,NOAH,8.133405492374303,7.678102864666441,4.427737530163584,4.0335256241681146,3.5320496042086043,3.1915979959794045,1.097733829589039,1.10667120629167,0.460015926650658,0.46001592665065233,0.63020261356176,43.17555761117912,-70.96977524254727,0.09773382958903909,0.7299492524328866,0.7299492524328776,0.27005074756711345,5,3.0,PET_3
01073000,PET_1_CFE,PET_1,8.133405492374303,8.133416887242767,1.833059817333549,4.0335256241681146,9.435246540299588,6.230624303372556,0.4544559742846816,1.5143340507936598,1.1600593786233602,1.160059378623366,0.63020261356176,43.17555761117912,-70.96977524254727,0.5455440257153183,1.840772084499891,1.8407720844999,0.8407720844998909,5,3.0,PET_3
01073000,PET_2_CFE,PET_2,8.133405492374303,8.133416887242767,3.878690323773204,4.0335256241681146,4.683407481545518,4.233269100245382,0.9616129126669812,1.1063335145110533,0.5758228732737682,0.5758228732737743,0.63020261356176,43.17555761117912,-70.96977524254727,0.038387087333018766,0.9137107033234122,0.9137107033234219,0.0862892966765878,5,3.0,PET_3
01073000,PET_3_CFE,PET_3,8.133405492374303,8.133416887242767,2.5723301303678885,4.0335256241681146,7.386696191603202,5.495904899851495,0.6377373965235222,1.344036391860201,0.908191021560595,0.9081910215606015,0.63020261356176,43.17555761117912,-70.96977524254727,0.36226260347647776,1.4411095765339792,1.4411095765339896,0.4411095765339792,5,3.0,PET_3
01073000,PET_4_CFE,PET_4,8.133405492374303,8.133416887242767,2.702061070604117,4.0335256241681146,7.824471266783995,5.360436525131801,0.6699005590577839,1.4596705380429085,0.9620152729484023,0.9620152729483988,0.63020261356176,43.17555761117912,-70.96977524254727,0.3300994409422161,1.5265174282780478,1.5265174282780425,0.5265174282780478,5,3.0,PET_3
01073000,PET_5_CFE,PET_5,8.133405492374303,8.133416887242767,1.425243129322948,4.0335256241681146,11.019208785151088,6.648065966500237,0.35334921905123484,1.6575059334063686,1.354806834312732,1.3548068343127315,0.63020261356176,43.17555761117912,-70.96977524254727,0.6466507809487652,2.1497956453332936,2.1497956453332927,1.1497956453332936,5,3.0,PET_3
01078000,NOAH_CFE,NOAH,7.914070919918535,7.408154601423146,4.371475732935808,3.941024666568363,3.1614213877982165,2.995047376794871,1.1092231342825518,1.055549709260823,0.42674884068846114,0.4267488406884594,0.613026372714384,43.52505243900643,-71.80667701951651,0.10922313428255181,0.696134554209935,0.6961345542099322,0.303865445790065,24,9.0,PET_4
01078000,PET_1_CFE,PET_1,7.914070919918535,7.916733005715727,1.4928845154874837,3.941024666568363,8.823358498962607,6.362234340498609,0.3788061841255637,1.3868333083548632,1.114520155295412,1.1145201552954078,0.613026372714384,43.52505243900643,-71.80667701951651,0.6211938158744363,1.818062329619675,1.818062329619668,0.818062329619675,24,9.0,PET_4
01078000,PET_2_CFE,PET_2,7.914070919918535,7.916733005715727,3.7988420766124884,3.941024666568363,4.303974571643022,4.083730510105211,0.9639224308434284,1.0539320753396475,0.5436553902393368,0.5436553902393387,0.613026372714384,43.52505243900643,-71.80667701951651,0.036077569156571565,0.8868385022851735,0.8868385022851766,0.11316149771482653,24,9.0,PET_4
01078000,PET_3_CFE,PET_3,7.914070919918535,7.916733005715727,2.5320567511734597,3.941024666568363,6.494961448228669,5.314114591360046,0.6424869076950593,1.2222095208086974,0.8204093081754094,0.8204093081754062,0.613026372714384,43.52505243900643,-71.80667701951651,0.35751309230494066,1.3382936602592912,1.338293660259286,0.3382936602592912,24,9.0,PET_4
01078000,PET_4_CFE,PET_4,7.914070919918535,7.916733005715727,3.1299791647458703,3.941024666568363,6.328173848348128,4.730696665318511,0.7942044086395662,1.3376832834666774,0.7993415773626962,0.7993415773627005,0.613026372714384,43.52505243900643,-71.80667701951651,0.2057955913604338,1.3039268993001685,1.3039268993001756,0.3039268993001685,24,9.0,PET_4
